date,sentiment_score,article_count
2022-01-14,-0.012053219711079317,17
2022-01-15,0.6663780212402344,3
2022-01-30,-0.37408870458602905,5
2022-01-31,0.616995070129633,16
2022-02-01,0.20566258827845255,6
2022-02-02,-0.02838382124900818,4
2022-02-03,-0.00913498799006146,3
2022-02-04,0.9996209740638732,1
2022-02-05,-0.4990532398223877,1
2022-02-07,0.9972717761993408,1
2022-02-09,0.608521024386088,3
2022-02-10,-0.15846526622772217,7
2022-02-11,-0.5576209227244059,3
2022-02-13,0.9988524913787842,1
2022-02-14,0.499891608953476,2
2022-02-15,0.33215359704835073,14
2022-02-16,0.602015966718847,11
2022-02-17,0.3719512603499673,11
2022-02-18,0.37057082355022425,10
2022-02-19,0.860877275466919,3
2022-02-20,-0.3795987367630005,1
2022-02-21,0.16440068350897896,9
2022-02-22,0.6701443141156976,11
2022-02-23,0.8296430557966232,8
2022-02-24,0.8287238015068902,18
2022-02-25,0.7655459154735912,11
2022-02-26,-0.028694793581962558,4
2022-02-27,0.0,1
2022-02-28,0.7485901614030203,6
2022-03-01,0.6139128307501475,12
2022-03-02,0.6345588266849518,10
2022-03-03,0.5369187593460083,4
2022-03-04,0.5880930498242378,8
2022-03-06,0.0,1
2022-03-08,0.6437551339467367,15
2022-03-09,0.7729678750038147,18
2022-03-10,0.3626465472308072,11
2022-03-11,0.6663872301578522,8
2022-03-12,0.998689353466034,1
2022-03-20,0.9348812103271484,1
2022-03-21,0.2460059622923533,6
2022-03-22,0.6325477090748873,11
2022-03-23,0.41785627603530884,13
2022-03-24,0.588531956076622,8
2022-03-25,0.03993977606296538,8
2022-03-26,0.4997474551200866,2
2022-03-27,0.9997211396694184,2
2022-03-28,0.7386641919612884,10
2022-03-29,0.5113979935646057,5
2022-03-30,0.36128897964954376,8
2022-03-31,0.6357824632099697,7
2022-04-01,0.6826952227524349,14
2022-04-02,0.5464145143826803,3
2022-04-03,0.8621779382228851,2
2022-04-04,0.6774304732680321,8
2022-04-05,0.19324448162859137,11
2022-04-06,0.6904860675334931,10
2022-04-07,0.6579539992592551,11
2022-04-08,0.5087929765383402,3
2022-04-09,0.9942305982112885,2
2022-04-10,0.6798118352890015,2
2022-04-11,0.0,1
2022-04-12,0.47564856708049774,2
2022-04-13,0.47049572070439655,3
2022-04-14,0.9352872669696808,2
2022-04-15,0.5126168860329522,9
2022-04-16,0.3584596812725067,1
2022-04-17,0.6550282835960388,4
2022-04-18,0.15506265255121085,13
2022-04-19,0.570936614816839,11
2022-04-20,0.5606430300644466,14
2022-04-21,0.1807592362165451,8
2022-04-22,0.9053521454334259,2
2022-04-25,0.8716413378715515,1
2022-04-29,0.3513224216607901,13
2022-04-30,0.40772201617558795,6
2022-05-01,-0.3182331323623657,3
2022-05-02,0.10476684570312504,3
2022-05-03,-0.6441650986671448,4
2022-05-04,0.4001619815826416,5
2022-05-05,0.8119662602742513,3
2022-05-06,0.20223324000835421,4
2022-05-07,0.9981229901313782,1
2022-05-15,0.0,1
2022-05-16,0.23015453666448588,8
2022-05-17,0.7336563938542416,19
2022-05-18,0.6014673829078674,10
2022-05-19,0.46850330992178485,11
2022-05-20,0.35000450909137726,10
2022-05-21,0.6415169437726339,3
2022-05-29,0.5208425124486288,6
2022-05-30,0.48516374475815716,17
2022-05-31,0.5853058894475301,21
2022-07-17,0.8621253967285156,2
2022-07-18,0.5756220863415644,13
2022-07-19,0.7812077323595683,15
2022-07-20,0.6104654868443807,9
2022-07-21,0.366318416595459,10
2022-07-22,-0.16217100620269775,2
2022-08-07,0.33757638931274414,4
2022-09-04,0.5636910796165466,1
2022-09-05,0.14402468999226892,3
2022-09-06,-0.16580589115619657,4
2022-09-07,0.4013911604881287,5
2022-09-08,0.42594180504481,9
2022-09-09,0.7512073715527853,6
2022-09-10,-0.0015162030855814246,3
2022-09-11,0.9705886542797089,2
2022-09-12,0.3123382159641811,7
2022-09-13,0.3899123013019562,10
2022-09-14,0.2660765126347542,8
2022-09-15,0.3777858870370047,7
2022-09-16,0.7327465176582336,5
2022-09-18,0.0,1
2022-09-19,0.15998175740242004,6
2022-09-20,0.3100216269493103,5
2022-09-21,0.6756172435624259,7
2022-09-22,0.6585821708043417,6
2022-09-23,0.21340564638376236,8
2022-09-24,0.9977304935455322,2
2022-09-25,0.46455638110637665,4
2022-09-26,0.6494566102822622,6
2022-09-27,0.2889089956879616,8
2022-09-28,0.32662452350963245,11
2022-09-29,0.4298957288265228,5
2022-09-30,0.3533578429903303,7
2022-10-03,0.16284328699111938,3
2022-10-04,0.7575204287256513,7
2022-10-05,0.8390027999877929,5
2022-10-06,0.3139985203742981,8
2022-10-07,0.49937887986501056,9
2022-10-08,0.8657770156860352,2
2022-10-09,0.7319802641868591,1
2022-10-10,0.33236650228500364,5
2022-10-11,0.99974125623703,1
2022-10-12,0.33287777503331506,3
2022-10-13,0.5202683657407761,4
2022-10-14,0.4051483631134033,5
2022-10-15,0.4993903934955597,2
2022-10-16,0.9651575684547424,1
2022-10-17,0.4809430241584778,10
2022-10-18,0.6532819271087646,9
2022-10-19,0.8892105162143707,10
2022-10-20,0.12438058190875584,9
2022-10-21,0.34695503344902623,13
2022-10-24,0.7845509290695191,5
2022-10-25,0.790669322013855,7
